Bundle_ID,Discount_Level,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,Bundle_Price,ROI,ROI_Category
BNDL_0013N3,20,52723.64,113,2.0,466.5808849557522,95.71349777822624,50-100%
BNDL_0015AP,16,80876.62,63,1.0,1283.755873015873,98.75365711376168,50-100%
BNDL_006BOF,15,62150.27,95,2.0,654.2133684210526,97.70717005734649,50-100%
BNDL_006WHC,38,20664.56,111,4.0,186.1672072072072,79.5882418982064,50-100%
BNDL_008N9H,58,16836.65,89,3.0,189.17584269662922,69.34069425924991,50-100%
BNDL_00E7XH,64,62656.1,27,3.0,2320.5962962962963,97.24208816061007,50-100%
BNDL_00POVF,47,96589.84,145,1.0,666.1368275862069,92.94439249511129,50-100%
BNDL_00S1BR,57,10931.95,106,2.0,103.13160377358491,44.730811977734994,0-50%
BNDL_00VUUO,24,50882.75,1,2.0,50882.75,99.95283273801043,50-100%
BNDL_00XWP1,18,18644.76,112,1.0,166.4710714285714,89.18731053657972,50-100%
BNDL_00Y0AB,17,88093.28,70,3.0,1258.4754285714287,98.64915916401343,50-100%
BNDL_0166Y2,63,35435.53,56,4.0,632.7773214285714,90.04389097609095,50-100%
BNDL_016KVI,17,89129.91,86,3.0,1036.3943023255815,98.35969765929305,50-100%
BNDL_01I74N,12,15747.78,104,3.0,151.42096153846154,92.07507343892281,50-100%
BNDL_01KKS2,33,2966.11,21,1.0,141.24333333333334,76.63606541901683,50-100%
BNDL_01L5R5,34,83236.55,25,2.0,3329.462,98.9788139945733,50-100%
BNDL_01WB3O,25,45401.37,48,4.0,945.861875,97.35690795233712,50-100%
BNDL_01WV0W,43,28422.2,121,1.0,234.89421487603306,81.69388717270303,50-100%
BNDL_01XAJ6,50,25173.01,80,4.0,314.662625,84.10996539547713,50-100%
BNDL_01XQ22,54,23329.59,12,2.0,1944.1325,97.22241153830822,50-100%
BNDL_02ATEL,14,50491.97,172,2.0,293.5579651162791,95.23092483814753,50-100%
BNDL_02B7J9,57,73939.81,3,1.0,24646.603333333333,99.76873080955983,50-100%
BNDL_02FWR7,58,38384.59,122,3.0,314.6277868852459,81.56551887098442,50-100%
BNDL_02HGIE,19,16945.48,24,4.0,706.0616666666666,97.30901691778575,50-100%
BNDL_02ID7Y,19,61932.81,37,4.0,1673.8597297297297,98.86489891222439,50-100%
BNDL_02PTR1,31,41265.21,83,3.0,497.1712048192771,93.76472335897479,50-100%
BNDL_02U00C,64,77420.8,117,2.0,661.7162393162394,90.32818054062992,50-100%
BNDL_02WKEG,46,69075.67,51,2.0,1354.4249019607844,96.60372458204169,50-100%
BNDL_02Z7IU,65,5049.44,173,1.0,29.18751445086705,-122.6979625463418,< 0%
BNDL_02ZINO,36,5994.26,68,4.0,88.15088235294118,59.16093062362994,50-100%
BNDL_0397JR,62,30369.9,160,4.0,189.81187500000001,67.336079473426,50-100%
BNDL_03CX15,55,26448.2,180,1.0,146.93444444444444,62.568341134746404,50-100%
BNDL_03D5M4,58,63718.37,74,3.0,861.0590540540541,93.26410892180701,50-100%
BNDL_03UN8B,11,57011.7,176,1.0,323.9301136363636,96.60420580337018,50-100%
BNDL_03YG46,29,2764.06,197,4.0,14.030761421319797,-106.68871153303473,< 0%
